conversion_id,lead_id,converted,revenue,cost,conversion_date,days_to_convert
1,1,0,0.0,30.17,,
2,2,0,0.0,33.52,,
3,3,1,74.67,48.09,2025-01-30,8.0
4,4,0,0.0,27.43,,
5,5,0,0.0,30.62,,
6,6,0,0.0,33.59,,
7,7,1,126.69,44.3,2024-05-27,13.0
8,8,0,0.0,14.28,,
9,9,0,0.0,15.06,,
10,10,0,0.0,28.79,,
11,11,1,84.44,46.21,2024-02-08,11.0
12,12,0,0.0,28.88,,
13,13,0,0.0,16.42,,
14,14,0,0.0,23.6,,
15,15,0,0.0,37.94,,
16,16,0,0.0,16.14,,
17,17,1,143.51,44.55,2025-02-28,22.0
18,18,1,150.24,20.16,2025-04-24,7.0
19,19,1,159.45,33.29,2024-01-14,12.0
20,20,1,51.25,44.08,2025-03-03,8.0
21,21,0,0.0,18.97,,
22,22,0,0.0,30.2,,
23,23,0,0.0,32.1,,
24,24,0,0.0,36.03,,
25,25,0,0.0,33.99,,
26,26,0,0.0,17.61,,
27,27,0,0.0,34.1,,
28,28,0,0.0,28.72,,
29,29,0,0.0,30.53,,
30,30,0,0.0,14.44,,
31,31,0,0.0,35.85,,
32,32,0,0.0,17.52,,
33,33,0,0.0,21.14,,
34,34,0,0.0,26.7,,
35,35,0,0.0,23.49,,
36,36,0,0.0,25.41,,
37,37,0,0.0,30.86,,
38,38,0,0.0,14.46,,
39,39,0,0.0,14.04,,
40,40,1,108.47,34.35,2024-04-04,20.0
41,41,0,0.0,38.8,,
42,42,0,0.0,35.4,,
43,43,1,60.69,41.32,2024-09-18,29.0
44,44,0,0.0,22.38,,
45,45,1,94.06,20.62,2025-02-14,13.0
46,46,1,70.01,45.62,2024-08-26,9.0
47,47,0,0.0,25.36,,
48,48,0,0.0,14.2,,
49,49,1,68.56,58.42,2025-04-17,17.0
50,50,0,0.0,21.62,,
51,51,0,0.0,15.21,,
52,52,1,144.98,48.13,2024-12-11,16.0
53,53,1,63.53,22.24,2025-10-16,7.0
54,54,0,0.0,28.41,,
55,55,0,0.0,31.87,,
56,56,0,0.0,38.57,,
57,57,0,0.0,31.84,,
58,58,1,97.72,18.13,2025-04-08,18.0
59,59,0,0.0,18.91,,
60,60,1,112.62,40.49,2024-03-25,10.0
61,61,0,0.0,24.66,,
62,62,1,105.89,17.22,2025-06-01,10.0
63,63,1,145.89,26.42,2024-05-04,14.0
64,64,0,0.0,30.58,,
65,65,1,67.04,53.37,2024-04-02,15.0
66,66,1,104.38,21.77,2024-02-06,29.0
67,67,0,0.0,28.03,,
68,68,1,129.65,50.18,2025-09-24,2.0
69,69,0,0.0,13.83,,
70,70,0,0.0,13.89,,
71,71,1,116.22,57.36,2025-10-28,5.0
72,72,0,0.0,17.44,,
73,73,1,137.94,36.73,2025-08-24,28.0
74,74,0,0.0,27.63,,
75,75,0,0.0,23.01,,
76,76,1,139.79,24.94,2025-07-24,21.0
77,77,0,0.0,19.56,,
78,78,0,0.0,17.51,,
79,79,0,0.0,32.58,,
80,80,0,0.0,23.1,,
81,81,0,0.0,20.16,,
82,82,0,0.0,25.14,,
83,83,0,0.0,28.75,,
84,84,0,0.0,10.67,,
85,85,0,0.0,16.46,,
86,86,1,157.93,59.52,2025-03-04,24.0
87,87,0,0.0,27.01,,
88,88,0,0.0,21.08,,
89,89,1,50.86,23.7,2024-10-23,12.0
90,90,0,0.0,13.09,,
91,91,1,105.95,24.57,2024-10-13,1.0
92,92,1,140.86,42.15,2024-10-16,26.0
93,93,0,0.0,30.18,,
94,94,0,0.0,14.02,,
95,95,1,75.25,29.11,2024-07-13,13.0
96,96,0,0.0,23.24,,
97,97,1,138.84,28.23,2024-10-06,19.0
98,98,1,128.71,18.28,2024-05-12,5.0
99,99,1,116.42,48.04,2024-10-22,18.0
100,100,0,0.0,12.14,,
101,101,1,147.48,49.04,2024-10-16,22.0
102,102,0,0.0,26.58,,
103,103,0,0.0,36.12,,
104,104,0,0.0,23.68,,
105,105,1,118.93,16.01,2024-01-23,6.0
106,106,1,104.37,47.12,2025-06-23,16.0
107,107,1,106.26,55.63,2024-11-15,2.0
