customer_id,lead_id,conversion_id,join_date,segment,lifetime_value,churned,churn_date
1,3,3,2025-01-30,Standard,95524.63,0,
2,7,7,2024-05-27,Standard,43375.47,0,
3,11,11,2024-02-08,At-Risk,42857.11,1,2025-12-27
4,17,17,2025-02-28,Standard,42930.52,0,
5,18,18,2025-04-24,Standard,33988.2,1,2025-07-26
6,19,19,2024-01-14,Standard,55597.72,0,
7,20,20,2025-03-03,Standard,65848.59,0,
8,40,40,2024-04-04,At-Risk,54783.46,0,
9,43,43,2024-09-18,At-Risk,99929.13,1,2025-08-27
10,45,45,2025-02-14,At-Risk,72522.37,0,
11,46,46,2024-08-26,Standard,45708.68,0,
12,49,49,2025-04-17,Standard,98981.3,0,
13,52,52,2024-12-11,Standard,217453.5,1,2025-10-01
14,53,53,2025-10-16,Standard,37276.44,0,
15,58,58,2025-04-08,Standard,62499.37,0,
16,60,60,2024-03-25,Standard,55179.7,0,
17,62,62,2025-06-01,Standard,32760.14,0,
18,63,63,2024-05-04,At-Risk,28194.76,0,
19,65,65,2024-04-02,At-Risk,11432.16,0,
20,66,66,2024-02-06,At-Risk,49142.07,1,2024-10-09
21,68,68,2025-09-24,At-Risk,39604.28,0,
22,71,71,2025-10-28,At-Risk,21929.54,0,
23,73,73,2025-08-24,Standard,70996.02,0,
24,76,76,2025-07-24,At-Risk,30416.18,0,
25,86,86,2025-03-04,Standard,40959.35,1,2025-12-01
26,89,89,2024-10-23,Standard,34902.98,0,
27,91,91,2024-10-13,Standard,53034.31,0,
28,92,92,2024-10-16,High-Value,317394.66,0,
29,95,95,2024-07-13,At-Risk,78547.37,1,2025-08-24
30,97,97,2024-10-06,Standard,68903.18,1,2026-09-30
31,98,98,2024-05-12,At-Risk,17388.73,0,
32,99,99,2024-10-22,At-Risk,29139.37,0,
33,101,101,2024-10-16,Standard,98621.05,0,
34,105,105,2024-01-23,Standard,95476.73,1,2024-04-26
35,106,106,2025-06-23,At-Risk,28750.7,0,
36,107,107,2024-11-15,Standard,128752.82,0,
